time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
7.220000000000006,0.0027489662170410156,-0.5483937859535217,0.0015445910394191742,0.7459626197814941,-0.0014121197164058685,1.262935996055603,0.0003562027122825384,95.58811950683594,0.5219215750694275,-0.37675049901008606,-0.05981814116239548,1.2274885177612305,0.02924593724310398,-0.21181929111480713,0.0006863735616207123,91.57422637939453
7.230000000000007,0.002747243270277977,-0.5483946204185486,0.0015424340963363647,0.7459635734558105,-0.0014110840857028961,1.2629318237304688,0.00035658665001392365,95.58815002441406,0.5223506093025208,-0.37661436200141907,-0.059831403195858,1.2275389432907104,0.029431166127324104,-0.21211984753608704,0.0006336048245429993,91.57264709472656
7.240000000000006,0.0027461890131235123,-0.5483952164649963,0.0015419237315654755,0.7459653615951538,-0.0014096349477767944,1.262927532196045,0.00035675591789186,95.58808135986328,0.5227794647216797,-0.3764776587486267,-0.05984575301408768,1.2275896072387695,0.029615653678774834,-0.21242082118988037,0.0005803592503070831,91.57106018066406
7.250000000000006,0.002744009718298912,-0.5483959317207336,0.0015409700572490692,0.7459667921066284,-0.001407906413078308,1.262923002243042,0.0003576881717890501,95.58806610107422,0.5232077836990356,-0.3763418197631836,-0.05985923111438751,1.2276389598846436,0.029801199212670326,-0.2127206027507782,0.0005272626876831055,91.56949615478516
7.260000000000006,0.0027424823492765427,-0.548396110534668,0.001539483666419983,0.7459675073623657,-0.001406051218509674,1.262919306755066,0.0003575130831450224,95.58807373046875,0.5236361026763916,-0.3762052357196808,-0.05987299606204033,1.2276898622512817,0.02998596616089344,-0.2130216360092163,0.0004736781120300293,91.56790924072266
7.270000000000006,0.002741072326898575,-0.548397421836853,0.0015382766723632812,0.7459684610366821,-0.001404937356710434,1.2629154920578003,0.00035799830220639706,95.58805847167969,0.5240647196769714,-0.37606897950172424,-0.05988696217536926,1.22774076461792,0.030171701684594154,-0.21332299709320068,0.0004204362630844116,91.56632232666016
7.2800000000000065,0.002739403396844864,-0.5483980774879456,0.0015373565256595612,0.7459696531295776,-0.0014033913612365723,1.2629117965698242,0.0003590565174818039,95.58804321289062,0.5244933366775513,-0.37593260407447815,-0.059900544583797455,1.2277909517288208,0.030356870964169502,-0.21362364292144775,0.0003676377236843109,91.56477355957031
7.290000000000006,0.0027373898774385452,-0.5483983159065247,0.0015358366072177887,0.7459704875946045,-0.0014020204544067383,1.2629077434539795,0.0003589419648051262,95.58804321289062,0.5249221324920654,-0.3757964074611664,-0.05991411209106445,1.2278417348861694,0.03054158203303814,-0.21392443776130676,0.0003144107758998871,91.56314086914062
7.300000000000006,0.002735171467065811,-0.5483991503715515,0.0015349425375461578,0.7459720373153687,-0.001400485634803772,1.2629035711288452,0.000359479570761323,95.58799743652344,0.5253505110740662,-0.37565988302230835,-0.05992809683084488,1.2278920412063599,0.030726665630936623,-0.21422484517097473,0.00026115402579307556,91.56159210205078
7.310000000000007,0.002733886241912842,-0.5483992695808411,0.00153418630361557,0.7459732294082642,-0.0013995803892612457,1.2628995180130005,0.00035990052856504917,95.58797454833984,0.5257788896560669,-0.3755235970020294,-0.05994172766804695,1.2279430627822876,0.03091234154999256,-0.21452584862709045,0.00020810216665267944,91.56000518798828
